Ref,Val,Package,PosX,PosY,Rot,Side
"U1","TPS1H200A","HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm_ThermalVias",145.500000,28.000000,-90.000000,bottom
"U3","TPS1H200A","HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm_ThermalVias",134.500000,28.000000,-90.000000,bottom
"U12","6N137","SMDIP-8_W9.53mm_Clearance8mm",72.500000,49.005000,-90.000000,bottom
"U20","6N137","SMDIP-8_W9.53mm_Clearance8mm",38.000000,49.005000,-90.000000,bottom
"U21","6N137","SMDIP-8_W9.53mm_Clearance8mm",61.000000,49.000000,-90.000000,bottom
"U22","6N137","SMDIP-8_W9.53mm_Clearance8mm",26.500000,49.005000,-90.000000,bottom
"U23","6N137","SMDIP-8_W9.53mm_Clearance8mm",49.500000,49.000000,-90.000000,bottom
"U24","6N137","SMDIP-8_W9.53mm_Clearance8mm",15.000000,49.005000,-90.000000,bottom
"U25","6N137","SMDIP-8_W9.53mm_Clearance8mm",141.500000,49.005000,-90.000000,bottom
"U26","6N137","SMDIP-8_W9.53mm_Clearance8mm",107.000000,49.005000,-90.000000,bottom
"U27","6N137","SMDIP-8_W9.53mm_Clearance8mm",130.000000,49.005000,-90.000000,bottom
"U28","6N137","SMDIP-8_W9.53mm_Clearance8mm",95.500000,49.005000,-90.000000,bottom
"U29","6N137","SMDIP-8_W9.53mm_Clearance8mm",118.500000,49.005000,-90.000000,bottom
"U30","6N137","SMDIP-8_W9.53mm_Clearance8mm",84.000000,48.955000,-90.000000,bottom
"U39","AD4111","LFCSP-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",114.000000,18.000000,0.000000,bottom
"U40","REF3025","SOT-23",108.500000,9.500000,0.000000,bottom
"Y2","16MHz","Crystal_SMD_5032-4Pin_5.0x3.2mm",106.500000,27.000000,180.000000,bottom
